Korpus;Frequency;Presentase Kemunculan;
buah;12915;0,029658809;
arab;12858;0,02952791;
dekat;12815;0,029429162;
alam;12805;0,029406198;
mencapai;12803;0,029401605;
bangunan;12790;0,029371751;
surat;12772;0,029330415;
bahkan;12660;0,029073211;
putri;12658;0,029068618;
radio;12643;0,029034171;
meninggal;12639;0,029024985;
bukan;12622;0,028985945;
laki;12611;0,028960684;
sulawesi;12599;0,028933127;
kematian;12521;0,028754003;
mendapatkan;12514;0,028737927;
t;12463;0,028620808;
sma;12462;0,028618511;
pangeran;12454;0,02860014;
batu;12423;0,028528949;
khusus;12406;0,028489909;
istilah;12404;0,028485316;
spanyol;12382;0,028434794;
kelahiran;12315;0,028280931;
cerita;12304;0,02825567;
penting;12295;0,028235002;
grand;12294;0,028232706;
tinggal;12290;0,02822352;
rusia;12282;0,028205148;
situs;12224;0,028071953;
san;12220;0,028062767;
r;12213;0,028046692;
kita;12197;0,028009949;
dianggap;12197;0,028009949;
hubungan;12171;0,027950241;
merah;12151;0,027904312;
york;12135;0,027867568;
county;12117;0,027826232;
bank;12081;0,027743559;
cukup;12064;0,027704519;
nomor;12021;0,027605771;
pertandingan;12020;0,027603475;
sang;11997;0,027550656;
ruang;11932;0,027401386;
final;11916;0,027364643;
km²;11900;0,0273279;
kehidupan;11895;0,027316417;
data;11881;0,027284267;
ditemukan;11859;0,027233745;
ialah;11856;0,027226855;
malaysia;11849;0,02721078;
ditempuh;11843;0,027197001;
permainan;11828;0,027162554;
terutama;11797;0,027091364;
juta;11753;0,02699032;
kegiatan;11743;0,026967355;
kristen;11697;0,026861718;
kitab;11695;0,026857125;
terbesar;11672;0,026804306;
muda;11614;0,026671111;
kini;11557;0,026540213;
komputer;11553;0,026531027;
departemen;11520;0,026455244;
budaya;11470;0,026340421;
sosial;11468;0,026335828;
sejumlah;11412;0,026207226;
putih;11408;0,02619804;
by;11353;0,026071735;
belum;11345;0,026053363;
teknologi;11340;0,026041881;
ketua;11273;0,025888018;
sultan;11257;0,025851274;
pasar;11241;0,025814531;
alat;11238;0,025807642;
teknik;11178;0,025669854;
angkatan;11171;0,025653779;
mobil;11143;0,025589478;
mendapat;11095;0,025479248;
nilai;11095;0,025479248;
peristiwa;11072;0,025426429;
fc;11007;0,025277159;
sebanyak;11005;0,025272566;
lima;10991;0,025240415;
bin;10984;0,02522434;
best;10971;0,025194486;
pihak;10963;0,025176115;
j;10945;0,025134778;
n;10917;0,025070477;
bergabung;10904;0,025040623;
kawasan;10902;0,02503603;
perempuan;10873;0,024969433;
seni;10852;0,024921207;
babak;10831;0,024872982;
mengalami;10827;0,024863796;
iii;10822;0,024852313;
badan;10799;0,024799495;
menerima;10766;0,024723711;
menuju;10753;0,024693857;
operasi;10750;0,024686968;
kode;10723;0,024624964;
mungkin;10696;0,024562959;
pantai;10678;0,024521623;
israel;10677;0,024519326;
informasi;10676;0,02451703;
industri;10665;0,024491769;
makanan;10644;0,024443543;
lokasi;10589;0,024317238;
